index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
0,"5/24/20, 11:02 - AI Derek: Good morning guys and I’m happy to have you here
",AI Derek,Good morning guys and I’m happy to have you here,good morning guys and im happy to have you here,2020-05-24 11:02:00,11,6
1,"5/24/20, 11:03 - AI Derek: So today we gonna have our webinar on data science
",AI Derek,So today we gonna have our webinar on data science,so today we gonna have our webinar on data science,2020-05-24 11:03:00,11,6
2,"5/24/20, 11:03 - AI Derek: And so that means soon we should be launching our platform as well
",AI Derek,And so that means soon we should be launching our platform as well,and so that means soon we should be launching our platform as well,2020-05-24 11:03:00,11,6
3,"5/24/20, 11:05 - AI Derek: By way of roles and responsibilities 
",AI Derek,By way of roles and responsibilities ,by way of roles and responsibilities ,2020-05-24 11:05:00,11,6
4,"5/24/20, 11:05 - AI Derek: Gentlemen I welcome you all
",AI Derek,Gentlemen I welcome you all,gentlemen i welcome you all,2020-05-24 11:05:00,11,6
5,"5/24/20, 11:06 - AI Derek: Let’s feel free to interact and share with others how we should be going with stuff
",AI Derek,Let’s feel free to interact and share with others how we should be going with stuff,lets feel free to interact and share with others how we should be going with stuff,2020-05-24 11:06:00,11,6
0,"5/24/20, 11:10 - Norbert Notitia: Thanks for the opportunity once again. Can't wait to join in
",Norbert Notitia,Thanks for the opportunity once again. Can't wait to join in,thanks for the opportunity once again cant wait to join in,2020-05-24 11:10:00,11,6
6,"5/24/20, 11:12 - AI Derek: Great
",AI Derek,Great,great,2020-05-24 11:12:00,11,6
7,"5/24/20, 11:13 - AI Derek: Also please do well to send us a portrait of yourself so @233247936396 can use it to design something great as we introduce the team behind Notitia to the world
",AI Derek,Also please do well to send us a portrait of yourself so @233247936396 can use it to design something great as we introduce the team behind Notitia to the world,also please do well to send us a portrait of yourself so  can use it to design something great as we introduce the team behind notitia to the world,2020-05-24 11:13:00,11,6
8,"5/24/20, 11:13 - AI Derek: Also add a small bio of yourself and your role at Notitia
",AI Derek,Also add a small bio of yourself and your role at Notitia,also add a small bio of yourself and your role at notitia,2020-05-24 11:13:00,11,6
9,"5/24/20, 11:14 - AI Derek: Your social media details too
",AI Derek,Your social media details too,your social media details too,2020-05-24 11:14:00,11,6
10,"5/24/20, 11:15 - AI Derek: For the email address we all gonna use notitia 
",AI Derek,For the email address we all gonna use notitia ,for the email address we all gonna use notitia ,2020-05-24 11:15:00,11,6
11,"5/24/20, 11:15 - AI Derek: 🔥
",AI Derek,🔥,,2020-05-24 11:15:00,11,6
12,"5/24/20, 14:26 - AI Derek: We’ve few minutes to start
",AI Derek,We’ve few minutes to start,weve few minutes to start,2020-05-24 14:26:00,14,6
2,"5/24/20, 14:27 - Norbert Notitia: Sharp👌🏽
",Norbert Notitia,Sharp👌🏽,sharp,2020-05-24 14:27:00,14,6
